Date,Daily_Rainfall_mm,Mean_Daily_Temperature_Celsius,Mean_Daily_Relative_Humidity_Percent,Mean_Daily_Surface_Pressure_hPa,Mean_Daily_Wind_Speed_kmh,Mean_Daily_Wind_Direction_Degree,Mean_Daily_Radiation_Wh_m2,Prakasam_Barrage_Level_ft,Prakasam_Barrage_Inflow_cusecs,Prakasam_Barrage_Outflow_cusecs,Prakasam_Barrage_Current_Storage,Prakasam_Barrage_Flood_Cushion,Flood_Event
1/1/2020,1.4,24.45,77.25,1012.63,13.16,98.96,142.08,56.99,4343,3560,3.06,0.01,0
1/2/2020,6.8,24.68,82.50,1013.44,11.03,106.71,135.63,56.99,4343,3560,3.06,0.01,0
1/3/2020,3.5,24.70,86.04,1011.45,6.95,117.54,131.63,57.05,4395,3571,3.07,0,0
1/4/2020,2.6,24.55,86.96,1009.95,5.19,127.17,131.96,57.05,4898,3560,3.07,0,0
1/5/2020,4.2,24.03,86.33,1010.80,7.69,66.54,75.08,57.05,4898,3560,3.07,0,0
1/6/2020,0,25.12,74.79,1012.82,12.50,90.75,138.58,57.05,4521,3540,3.07,0,0
1/7/2020,0.1,24.64,76.13,1012.27,10.34,97.58,142.46,57.05,4245,3241,3.07,0,0
1/8/2020,0,24.11,77.29,1011.12,8.65,120.00,156.96,57.05,2614,3041,3.07,0,0
1/9/2020,0,24.43,76.21,1010.60,6.94,135.46,155.96,57.05,2614,3041,3.07,0,0
1/10/2020,0,24.61,75.63,1011.33,5.95,83.88,156.63,56.73,2355,2871,2.99,0.08,0
1/11/2020,0.9,24.46,81.50,1012.38,5.85,73.25,157.04,56.63,2354,2871,2.97,0.1,0
1/12/2020,0.2,24.75,75.13,1011.06,6.24,131.42,211.54,56.82,3928,2512,3.02,0.05,0
1/13/2020,0,23.97,76.29,1009.55,4.64,155.08,213.96,56.96,2355,2512,3.05,0.02,0
1/14/2020,0,23.95,75.71,1009.74,6.57,118.13,182.42,57.05,2512,3592,3.07,0,0
1/15/2020,0,23.48,73.08,1010.65,8.40,106.33,191.58,57.05,2512,3592,3.07,0,0
1/16/2020,0.2,23.30,76.21,1010.57,8.09,98.63,142.79,57.05,2512,3592,3.07,0,0
1/17/2020,0,24.57,75.96,1010.75,9.75,109.92,188.17,57.05,2512,3592,3.07,0,0
1/18/2020,0,25.30,74.71,1010.78,8.90,108.79,186.38,57.05,4662,3263,3.07,0,0
1/19/2020,0.2,25.29,76.33,1011.00,6.87,112.88,160.50,57.05,4662,3263,3.07,0,0
1/20/2020,0.3,25.27,74.46,1011.71,5.54,115.79,179.42,57.05,4438,3524,3.07,0,0
1/21/2020,0.1,25.43,73.58,1013.23,8.93,112.08,206.58,56.92,4445,3671,3.04,0.03,0
1/22/2020,0,25.52,73.71,1013.65,8.00,108.29,210.04,56.76,4403,3698,3,0.07,0
1/23/2020,0,25.30,74.38,1012.44,5.07,119.63,193.96,56.63,4661,3696,2.97,0.1,0
1/24/2020,0,26.03,73.71,1011.35,4.47,177.88,215.08,56.63,4501,3569,2.97,0.1,0
1/25/2020,0,25.80,72.13,1011.05,5.59,125.54,209.29,56.63,4501,3569,2.97,0.1,0
1/26/2020,0,25.97,72.96,1009.66,5.15,211.67,219.08,56.63,4501,3569,2.97,0.1,0
1/27/2020,0,26.28,72.92,1008.95,7.38,185.13,219.13,56.46,4357,3770,2.93,0.14,0
1/28/2020,0,26.13,70.75,1009.32,11.06,158.08,200.79,56.66,5259,3770,2.98,0.09,0
1/29/2020,0.1,26.63,72.13,1010.36,10.23,159.58,183.08,56.82,5138,3773,3.02,0.05,0
1/30/2020,0,26.30,74.13,1009.77,5.31,157.46,168.71,56.89,5076,4243,3.03,0.04,0
1/31/2020,0,26.45,71.50,1009.05,7.19,180.54,191.33,56.96,5010,4243,3.05,0.02,0
2/1/2020,0,26.26,71.00,1010.00,9.37,145.13,187.96,56.99,5094,4243,3.06,0.01,0
2/2/2020,0.2,25.78,72.54,1012.16,9.95,114.67,182.96,56.06,5094,4225,3.05,0.02,0
2/3/2020,0,25.93,72.21,1012.35,9.24,112.33,209.63,57.05,4103,4015,3.07,0,0
2/4/2020,0.9,25.87,73.79,1010.92,9.59,121.00,190.42,57.05,5602,4015,3.07,0,0
2/5/2020,0,26.18,68.21,1010.36,9.19,153.08,221.83,57.05,5998,4015,3.07,0,0
2/6/2020,0,25.74,73.33,1010.23,11.04,143.54,220.79,57.05,5721,4124,3.07,0,0
2/7/2020,0,26.26,68.17,1010.57,12.77,152.17,209.71,57.05,5721,4124,3.07,0,0
2/8/2020,0.1,26.26,68.29,1011.22,11.89,138.17,189.63,57.05,5302,4133,3.07,0,0
2/9/2020,4.5,24.70,77.79,1012.68,8.26,86.38,138.42,57.05,5302,3881,3.07,0,0
2/10/2020,0.2,24.95,75.50,1012.85,11.94,99.33,173.75,57.05,3840,3209,3.07,0,0
2/11/2020,0.5,25.64,70.67,1012.98,11.75,97.83,198.29,57.05,4933,3311,3.07,0,0
2/12/2020,0,26.03,68.38,1013.65,8.59,104.38,173.92,57.05,4985,3075,3.07,0,0
2/13/2020,0,26.40,69.42,1012.12,5.13,154.67,236.25,57.05,2682,2875,3.07,0,0
2/14/2020,0,26.80,64.42,1009.42,5.85,260.58,248.58,57.05,2583,2875,3.07,0,0
2/15/2020,0,26.75,69.38,1009.37,5.35,178.00,248.04,57.05,2460,2359,3.07,0,0
2/16/2020,0,26.64,65.96,1011.10,7.28,133.46,252.04,57.05,2460,2359,3.07,0,0
2/17/2020,0,26.43,66.67,1011.93,5.96,144.50,241.17,56.79,4224,2668,3.01,0.06,0
2/18/2020,0,26.90,67.08,1011.14,6.55,177.17,244.17,56.66,4188,2889,2.98,0.09,0
2/19/2020,0,26.51,69.75,1011.41,8.98,130.54,206.54,56.46,4252,3189,2.93,0.14,0
